PNo,行動回数,体力,敏捷,器用,魔力,精神,武器,スキル,CRIフラグ,必殺技フラグ,ダメージ
1,1,80,100,70,150,100,魔導石,チャージ,True,False,27
1,2,80,100,70,150,100,魔導石,チャージ,False,False,14
1,3,80,100,70,150,100,魔導石,チャージ,False,False,12
2,1,150,50,50,100,150,格闘,スラッシュ,False,False,9
2,2,150,50,50,100,150,格闘,スラッシュ,False,False,14
3,2,140,90,130,50,90,銛,スラッシュ,True,False,59
3,3,140,90,130,50,90,銛,スラッシュ,False,False,22
4,1,150,100,150,50,50,錨,スラッシュ,False,False,49
4,2,150,100,150,50,50,錨,スラッシュ,False,False,56
4,3,150,100,150,50,50,錨,スラッシュ,False,False,62
5,1,50,50,100,150,150,魔導石,マジックアロー,False,True,70
5,2,50,50,100,150,150,魔導石,マジックアロー,False,False,58
5,3,50,50,100,150,150,魔導石,マジックアロー,False,False,57
6,2,130,140,130,50,50,細剣,スラッシュ,False,False,22
6,3,130,140,130,50,50,細剣,スラッシュ,False,False,26
7,1,50,50,100,150,150,杖,マジックアロー,False,False,70
7,2,50,50,100,150,150,杖,マジックブラスト,False,False,85
7,3,50,50,100,150,150,杖,マジックアロー,False,False,60
8,1,100,150,150,50,50,銛,スラッシュ,False,False,20
8,2,100,150,150,50,50,銛,スラッシュ,False,False,21
8,3,100,150,150,50,50,銛,スラッシュ,False,True,30
9,1,150,150,100,50,50,格闘,チャージ,False,False,8
9,2,150,150,100,50,50,格闘,チャージ,False,False,17
9,3,150,150,100,50,50,格闘,チャージ,False,False,9
9,4,150,150,100,50,50,格闘,チャージ,False,False,20
11,1,50,100,50,150,150,魔導石,マジックブレイク,False,False,91
11,2,50,100,50,150,150,魔導石,マジックブレイク,False,False,71
11,3,50,100,50,150,150,魔導石,マジックブレイク,False,False,80
12,1,70,120,70,150,90,杖,マジックブラスト,False,False,68
12,2,70,120,70,150,90,杖,マジックブラスト,False,False,76
12,3,70,120,70,150,90,杖,マジックブラスト,False,False,83
13,1,50,150,50,150,100,魔導石,マジックアロー,False,True,51
13,2,50,150,50,150,100,魔導石,マジックブラスト,False,False,67
13,3,50,150,50,150,100,魔導石,マジックブラスト,False,False,74
14,2,100,150,150,50,50,格闘,通常攻撃,False,False,9
14,3,100,150,150,50,50,格闘,通常攻撃,False,False,9
14,4,100,150,150,50,50,格闘,通常攻撃,False,False,6
14,5,100,150,150,50,50,格闘,通常攻撃,False,False,10
15,1,50,50,100,150,150,杖,マジックアロー,False,False,64
15,2,50,50,100,150,150,杖,マジックアロー,False,False,64
15,3,50,50,100,150,150,杖,マジックアロー,False,False,67
16,1,150,130,100,50,70,銛,スラッシュ,False,False,20
16,2,150,130,100,50,70,銛,スラッシュ,False,False,18
16,3,150,130,100,50,70,銛,スラッシュ,False,False,24
17,1,150,120,130,50,50,斧,スラッシュ,False,False,46
17,2,150,120,130,50,50,斧,チャージ,False,True,97
18,1,80,80,100,120,120,魔導石,マジックアロー,False,False,45
18,2,80,80,100,120,120,魔導石,マジックアロー,False,False,52
18,3,80,80,100,120,120,魔導石,マジックアロー,False,False,45
19,1,150,100,100,60,90,銛,シュート,False,False,14
19,2,150,100,100,60,90,銛,シュート,False,False,18
19,3,150,100,100,60,90,銛,チャージ,False,False,27
20,1,150,50,150,50,100,斧,スラッシュ,False,False,36
20,2,150,50,150,50,100,斧,スラッシュ,False,False,46
20,3,150,50,150,50,100,斧,スラッシュ,True,False,143
21,3,100,100,50,150,100,魔導石,マジックアロー,False,False,47
22,2,150,150,100,50,50,格闘,チャージ,False,False,11
22,3,150,150,100,50,50,格闘,チャージ,False,True,21
22,4,150,150,100,50,50,格闘,チャージ,False,False,19
22,5,150,150,100,50,50,格闘,チャージ,False,False,11
24,1,150,130,120,50,50,格闘,スラッシュ,False,False,18
24,2,150,130,120,50,50,格闘,スラッシュ,False,False,14
24,3,150,130,120,50,50,格闘,スラッシュ,False,False,12
24,4,150,130,120,50,50,格闘,スラッシュ,False,False,16
25,1,50,50,100,150,150,魔導石,マジックアロー,False,False,68
25,2,50,50,100,150,150,魔導石,マジックアロー,False,False,70
25,3,50,50,100,150,150,魔導石,マジックアロー,False,False,72
26,1,150,150,100,50,50,格闘,スラッシュ,False,False,13
26,2,150,150,100,50,50,格闘,スラッシュ,False,False,9
26,3,150,150,100,50,50,格闘,スラッシュ,False,False,12
26,4,150,150,100,50,50,格闘,スラッシュ,False,False,18
27,1,50,100,50,150,150,ボウガン,チャージ,True,False,27
27,2,50,100,50,150,150,ボウガン,チャージ,False,False,17
27,3,50,100,50,150,150,ボウガン,チャージ,True,False,27
28,2,90,120,150,60,80,銛,スラッシュ,False,False,18
28,3,90,120,150,60,80,銛,スラッシュ,False,False,22
29,1,50,100,50,150,150,魔導石,マジックブラスト,False,False,67
31,1,50,50,120,150,130,杖,マジックアロー,False,False,76
31,2,50,50,120,150,130,杖,マジックアロー,False,False,72
31,3,50,50,120,150,130,杖,マジックアロー,False,False,61
32,1,150,150,100,50,50,格闘,チャージ,False,True,15
32,2,150,150,100,50,50,格闘,チャージ,False,False,10
32,3,150,150,100,50,50,格闘,チャージ,False,False,12
32,4,150,150,100,50,50,格闘,チャージ,False,False,19
33,2,100,150,150,50,50,ボウガン,シュート,False,False,24
33,3,100,150,150,50,50,ボウガン,シュート,False,False,26
35,2,150,100,50,50,150,ボウガン,シュート,False,False,16
35,3,150,100,50,50,150,ボウガン,シュート,False,False,22
36,3,110,150,100,50,90,細剣,スラッシュ,False,False,15
37,1,80,90,100,120,110,杖,マジックブラスト,False,False,62
37,2,80,90,100,120,110,杖,マジックブラスト,False,False,61
38,2,150,100,70,80,100,槍,チャージ,False,False,35
38,3,150,100,70,80,100,槍,チャージ,False,False,22
39,3,150,110,140,50,50,槍,チャージ,False,False,24
40,1,50,50,100,150,150,杖,マジックアロー,False,False,72
40,2,50,50,100,150,150,杖,マジックアロー,False,False,59
41,1,50,50,150,150,100,魔導石,マジックブレイク,False,False,78
41,2,50,50,150,150,100,魔導石,マジックブレイク,False,False,75
41,3,50,50,150,150,100,魔導石,マジックブレイク,False,False,90
42,1,100,150,120,50,80,斧,スラッシュ,False,False,41
42,2,100,150,120,50,80,斧,スラッシュ,False,False,36
42,3,100,150,120,50,80,斧,スラッシュ,False,False,52
43,1,100,150,150,50,50,長剣,スラッシュ,False,False,36
43,2,100,150,150,50,50,長剣,スラッシュ,False,False,32
43,3,100,150,150,50,50,長剣,スラッシュ,False,False,37
44,1,50,50,150,150,100,魔導石,マジックブラスト,False,False,86
44,2,50,50,150,150,100,魔導石,マジックブラスト,False,False,81
44,3,50,50,150,150,100,魔導石,マジックブラスト,False,False,84
45,1,150,150,100,50,50,短剣,スラッシュ,False,False,9
45,2,150,150,100,50,50,短剣,スラッシュ,False,False,13
45,3,150,150,100,50,50,短剣,スラッシュ,False,False,13
46,1,100,150,100,50,100,槍,チャージ,False,False,32
46,2,100,150,100,50,100,槍,チャージ,False,False,23
46,3,100,150,100,50,100,槍,チャージ,False,True,29
47,2,80,150,120,50,100,短剣,通常攻撃,False,False,7
47,3,80,150,120,50,100,短剣,通常攻撃,False,False,8
48,2,100,150,50,50,150,短剣,通常攻撃,False,False,3
48,3,100,150,50,50,150,短剣,通常攻撃,False,False,4
49,1,150,100,50,50,150,銛,チャージ,False,False,21
49,3,150,100,50,50,150,銛,チャージ,False,False,21
50,1,150,100,130,70,50,格闘,チャージ,False,False,18
51,1,150,150,100,50,50,斧,チャージ,False,False,61
51,2,150,150,100,50,50,斧,チャージ,True,False,148
52,1,150,50,50,100,150,魔導石,マジックブラスト,False,False,56
52,2,150,50,50,100,150,魔導石,マジックブラスト,False,False,63
52,3,150,50,50,100,150,魔導石,マジックブラスト,False,False,53
53,1,50,100,100,150,100,魔導石,マジックブレイク,False,False,69
53,2,50,100,100,150,100,魔導石,マジックブレイク,False,False,88
53,3,50,100,100,150,100,魔導石,マジックブレイク,False,False,80
54,1,50,150,50,130,120,魔導石,マジックアロー,False,True,54
54,2,50,150,50,130,120,魔導石,マジックブレイク,False,False,69
54,3,50,150,50,130,120,魔導石,マジックブレイク,False,False,56
55,1,100,150,150,50,50,ボウガン,シュート,False,False,29
55,3,100,150,150,50,50,ボウガン,シュート,False,False,33
56,2,50,150,50,150,100,魔導石,マジックブラスト,False,False,61
57,1,150,100,150,50,50,槍,チャージ,False,False,43
57,3,150,100,150,50,50,槍,チャージ,False,True,29
58,1,150,50,70,150,80,杖,通常攻撃,False,False,19
